Make,Model,Class,Engine_L,Cylinders,Drive,City_MPG,Hwy_MPG,Combined_MPG,Annual_Fuel_Cost,CO2_grams_per_mi
Aston Martin Lagonda Ltd,Vanquish,Two Seaters,5.2,12,Rear-Wheel,13,21,16,3900,563
Aston Martin Lagonda Ltd,Vanquish Volante,Two Seaters,5.2,12,Rear-Wheel,13,20,16,3900,568
Aston Martin Lagonda Ltd,Vantage,Two Seaters,4.0,8,Rear-Wheel,15,22,18,3450,498
BMW,Z4 M40i,Two Seaters,3.0,6,Rear-Wheel,23,29,25,2500,346
BMW,Z4 M40i,Two Seaters,3.0,6,Rear-Wheel,19,26,22,2850,407
BMW,Z4 sDrive30i,Two Seaters,2.0,4,Rear-Wheel,25,33,28,2200,312
Chevrolet,CORVETTE,Two Seaters,6.2,8,Rear-Wheel,16,25,19,3300,474
Chevrolet,CORVETTE E-RAY,Two Seaters,6.2,8,All-Wheel,16,24,19,3300,477
Chevrolet,CORVETTE Z06,Two Seaters,5.5,8,Rear-Wheel,12,21,15,4150,597
Chevrolet,CORVETTE Z06 CARBON AERO,Two Seaters,5.5,8,Rear-Wheel,12,19,14,4450,631
Chevrolet,CORVETTE ZR1,Two Seaters,5.5,8,Rear-Wheel,12,18,14,4450,629
Ferrari S.p.A.,12Cilindri,Two Seaters,6.5,12,Rear-Wheel,12,19,14,4450,619
Ferrari S.p.A.,12Cilindri Spider,Two Seaters,6.5,12,Rear-Wheel,12,17,14,4450,633
Lamborghini,Revuelto,Two Seaters,6.5,12,All-Wheel,10,17,12,4750,753
Lamborghini,Temerario,Two Seaters,4.0,8,All-Wheel,14,19,16,3650,556
Mercedes-Benz,AMG GT 55 4MATIC+ (coupe),Two Seaters,4.0,8,All-Wheel,14,20,16,3900,558
Mercedes-Benz,AMG GT 63 4MATIC+ (coupe),Two Seaters,4.0,8,All-Wheel,14,20,16,3900,558
Mercedes-Benz,AMG GT 63 PRO 4MATIC+ (coupe),Two Seaters,4.0,8,All-Wheel,14,20,16,3900,558
NISSAN,Z,Two Seaters,3.0,6,Rear-Wheel,18,24,20,3100,435
NISSAN,Z,Two Seaters,3.0,6,Rear-Wheel,19,28,22,2850,405
NISSAN,Z NISMO,Two Seaters,3.0,6,Rear-Wheel,17,24,19,3300,469
TOYOTA,Supra 2.0,Two Seaters,2.0,4,Rear-Wheel,25,31,27,2300,322
TOYOTA,Supra 3.0,Two Seaters,3.0,6,Rear-Wheel,22,29,25,2500,349
TOYOTA,Supra 3.0,Two Seaters,3.0,6,Rear-Wheel,19,26,21,2950,408
Aston Martin Lagonda Ltd,DB12 V8,Minicompact Cars,4.0,8,Rear-Wheel,15,22,17,3650,507
Ferrari S.p.A.,Roma Spider,Minicompact Cars,3.9,8,Rear-Wheel,17,22,19,3300,467
LEXUS,LC 500 CONVERTIBLE,Minicompact Cars,5.0,8,Rear-Wheel,15,25,18,3450,489
Mercedes-Benz,AMG SL 43,Minicompact Cars,2.0,4,Rear-Wheel,19,27,22,2850,400
Mercedes-Benz,AMG SL 55 4MATIC+,Minicompact Cars,4.0,8,All-Wheel,14,21,16,3900,552
Mercedes-Benz,AMG SL 63 4MATIC+,Minicompact Cars,4.0,8,All-Wheel,14,21,16,3900,552
Mercedes-Benz,SL 680 Maybach,Minicompact Cars,4.0,8,All-Wheel,13,20,16,3900,558
Mini,Cooper C Convertible,Minicompact Cars,2.0,4,Front-Wheel,27,37,30,2100,287
Mini,Cooper S Convertible,Minicompact Cars,2.0,4,Front-Wheel,26,36,30,2100,292
Mini,JCW Convertible,Minicompact Cars,2.0,4,Front-Wheel,26,35,30,2100,296
Porsche,911 Carrera,Minicompact Cars,3.0,6,Rear-Wheel,18,25,21,2950,424
Porsche,911 Carrera 4 GTS,Minicompact Cars,3.6,6,All-Wheel,17,23,19,3300,468
Porsche,911 Carrera 4 GTS Cabriolet,Minicompact Cars,3.6,6,All-Wheel,17,23,19,3300,469
Porsche,911 Carrera 4S,Minicompact Cars,3.0,6,All-Wheel,17,24,20,3100,453
Porsche,911 Carrera 4S Cabriolet,Minicompact Cars,3.0,6,All-Wheel,17,24,20,3100,446
Porsche,911 Carrera Cabriolet,Minicompact Cars,3.0,6,Rear-Wheel,18,25,21,2950,429
Porsche,911 Carrera GTS,Minicompact Cars,3.6,6,Rear-Wheel,17,24,20,3100,453
Porsche,911 Carrera GTS Cabriolet,Minicompact Cars,3.6,6,Rear-Wheel,17,23,19,3300,467
Porsche,911 Carrera S,Minicompact Cars,3.0,6,Rear-Wheel,17,24,20,3100,445
Porsche,911 Carrera S Cabriolet,Minicompact Cars,3.0,6,Rear-Wheel,17,24,20,3100,455
Porsche,911 Carrera T,Minicompact Cars,3.0,6,Rear-Wheel,17,25,20,3100,448
Porsche,911 Carrera T Cabriolet,Minicompact Cars,3.0,6,Rear-Wheel,17,25,19,3300,469
Porsche,911 Targa 4 GTS,Minicompact Cars,3.6,6,All-Wheel,17,23,19,3300,467
Porsche,911 Targa 4S,Minicompact Cars,3.0,6,All-Wheel,17,24,20,3100,447
Subaru,BRZ,Minicompact Cars,2.4,4,Rear-Wheel,20,27,22,2850,399
Subaru,BRZ,Minicompact Cars,2.4,4,Rear-Wheel,21,30,25,2500,362
Audi,A3 quattro,Subcompact Cars,2.0,4,All-Wheel,24,34,28,2200,323
Audi,RS 3,Subcompact Cars,2.5,5,All-Wheel,20,29,23,2700,387
Audi,S3,Subcompact Cars,2.0,4,All-Wheel,23,31,26,2400,346
BMW,230i Coupe,Subcompact Cars,2.0,4,Rear-Wheel,26,35,30,2100,296
BMW,230i xDrive Coupe,Subcompact Cars,2.0,4,All-Wheel,25,33,28,2200,313
BMW,430i Convertible,Subcompact Cars,2.0,4,Rear-Wheel,27,35,30,2100,295
BMW,430i Coupe,Subcompact Cars,2.0,4,Rear-Wheel,28,36,31,2000,285
BMW,430i xDrive Convertible,Subcompact Cars,2.0,4,All-Wheel,24,33,28,2200,316
BMW,430i xDrive Coupe,Subcompact Cars,2.0,4,All-Wheel,27,34,30,2100,294
BMW,840i Convertible,Subcompact Cars,3.0,6,Rear-Wheel,21,29,24,2600,368
BMW,840i Coupe,Subcompact Cars,3.0,6,Rear-Wheel,21,29,24,2600,368
BMW,840i xDrive Convertible,Subcompact Cars,3.0,6,All-Wheel,21,29,24,2600,373
BMW,840i xDrive Coupe,Subcompact Cars,3.0,6,All-Wheel,21,29,24,2600,373
BMW,M2 Coupe,Subcompact Cars,3.0,6,Rear-Wheel,16,23,19,3300,473
BMW,M2 Coupe,Subcompact Cars,3.0,6,Rear-Wheel,16,23,19,3300,466
BMW,M2 Coupe CS,Subcompact Cars,3.0,6,Rear-Wheel,16,23,19,3300,475
BMW,M240i Coupe,Subcompact Cars,3.0,6,Rear-Wheel,23,32,26,2400,339
BMW,M240i xDrive Coupe,Subcompact Cars,3.0,6,All-Wheel,23,32,26,2400,336
BMW,M4 Competition Coupe,Subcompact Cars,3.0,6,Rear-Wheel,16,23,19,3300,470
BMW,M4 Competition M xDrive Coupe,Subcompact Cars,3.0,6,All-Wheel,16,23,18,3450,472
BMW,M4 Coupe,Subcompact Cars,3.0,6,Rear-Wheel,16,23,19,3300,472
BMW,M440i Convertible,Subcompact Cars,3.0,6,Rear-Wheel,27,33,29,2150,300
BMW,M440i Coupe,Subcompact Cars,3.0,6,Rear-Wheel,27,34,30,2100,296
BMW,M440i xDrive Convertible,Subcompact Cars,3.0,6,All-Wheel,25,32,28,2200,312
BMW,M440i xDrive Coupe,Subcompact Cars,3.0,6,All-Wheel,26,33,29,2150,301
BMW,M4CompetitionMxDriveConvertible,Subcompact Cars,3.0,6,All-Wheel,16,22,18,3450,479
BMW,M850i xDrive Convertible,Subcompact Cars,4.4,8,All-Wheel,17,24,19,3300,456
BMW,M850i xDrive Coupe,Subcompact Cars,4.4,8,All-Wheel,17,24,19,3300,456
Ford,MUSTANG,Subcompact Cars,5.0,8,Rear-Wheel,16,24,19,2600,468
Ford,MUSTANG,Subcompact Cars,5.0,8,Rear-Wheel,15,23,18,2750,494
Ford,MUSTANG,Subcompact Cars,2.3,4,Rear-Wheel,22,33,26,1900,341
Ford,MUSTANG DARK HORSE,Subcompact Cars,5.0,8,Rear-Wheel,14,22,17,2900,525
Ford,MUSTANG DARK HORSE,Subcompact Cars,5.0,8,Rear-Wheel,14,22,17,2900,533
LEXUS,LC 500,Subcompact Cars,5.0,8,Rear-Wheel,16,24,18,3450,481
MASERATI,Grancabrio,Subcompact Cars,3.0,6,All-Wheel,17,26,20,3100,430
MASERATI,Grancabrio Trofeo,Subcompact Cars,3.0,6,All-Wheel,17,26,20,3100,430
MASERATI,Granturismo,Subcompact Cars,3.0,6,All-Wheel,18,27,21,2950,412
MASERATI,Granturismo Trofeo,Subcompact Cars,3.0,6,All-Wheel,18,27,21,2950,412
Mercedes-Benz,AMG CLE 53 4MATIC+ (convertible),Subcompact Cars,3.0,6,All-Wheel,19,26,22,2850,408
Mercedes-Benz,AMG CLE 53 4MATIC+ (coupe),Subcompact Cars,3.0,6,All-Wheel,20,27,23,2700,391
Mercedes-Benz,AMG GT 43 (coupe),Subcompact Cars,2.0,4,Rear-Wheel,19,27,22,2850,405
Mercedes-Benz,CLE 300 4MATIC (convertible),Subcompact Cars,2.0,4,All-Wheel,23,32,26,2400,340
Mercedes-Benz,CLE 300 4MATIC (Coupe),Subcompact Cars,2.0,4,All-Wheel,24,33,27,2300,323
Mercedes-Benz,CLE 450 4MATIC (Convertible),Subcompact Cars,3.0,6,All-Wheel,23,32,26,2400,338
Mercedes-Benz,CLE 450 4MATIC (Coupe),Subcompact Cars,3.0,6,All-Wheel,23,33,26,2400,339
Mini,Cooper C 2 Door,Subcompact Cars,2.0,4,Front-Wheel,27,39,32,1950,278
Mini,Cooper S 2 Door,Subcompact Cars,2.0,4,Front-Wheel,28,39,32,1950,275
Mini,JCW 2 Door,Subcompact Cars,2.0,4,Front-Wheel,27,37,30,2100,288
BMW,228 Gran Coupe,Compact Cars,2.0,4,Front-Wheel,27,39,31,2000,279
BMW,228 xDrive Gran Coupe,Compact Cars,2.0,4,All-Wheel,26,38,30,2100,288
BMW,330i Sedan,Compact Cars,2.0,4,Rear-Wheel,28,35,31,2000,286
BMW,330i xDrive Sedan,Compact Cars,2.0,4,All-Wheel,26,34,29,2150,298
BMW,430i Gran Coupe,Compact Cars,2.0,4,Rear-Wheel,27,35,30,2100,290
BMW,430i xDrive Gran Coupe,Compact Cars,2.0,4,All-Wheel,25,34,29,2150,305
BMW,M235 xDrive Gran Coupe,Compact Cars,2.0,4,All-Wheel,24,33,27,2300,321
BMW,M3 Competition M xDrive Sedan,Compact Cars,3.0,6,All-Wheel,16,23,18,3450,477
BMW,M3 Competition Sedan,Compact Cars,3.0,6,Rear-Wheel,16,23,19,3300,470
BMW,M3 Sedan,Compact Cars,3.0,6,Rear-Wheel,16,23,19,3300,472
BMW,M340i Sedan,Compact Cars,3.0,6,Rear-Wheel,27,33,29,2150,299
BMW,M340i xDrive Sedan,Compact Cars,3.0,6,All-Wheel,26,33,29,2150,304
BMW,M440i Gran Coupe,Compact Cars,3.0,6,Rear-Wheel,26,32,28,2200,312
BMW,M440i xDrive Gran Coupe,Compact Cars,3.0,6,All-Wheel,25,31,27,2300,320
Cadillac,CT4,Compact Cars,2.7,4,Rear-Wheel,21,31,25,2500,356
Cadillac,CT4,Compact Cars,2.0,4,Rear-Wheel,22,32,26,2400,345
Cadillac,CT4 AWD,Compact Cars,2.7,4,All-Wheel,21,29,24,2600,371
Cadillac,CT4 AWD ,Compact Cars,2.0,4,All-Wheel,21,31,25,2500,357
Cadillac,CT4 V,Compact Cars,2.7,4,Rear-Wheel,20,29,23,2700,383
Cadillac,CT4 V,Compact Cars,3.6,6,Rear-Wheel,16,24,19,3300,478
Cadillac,CT4 V,Compact Cars,3.6,6,Rear-Wheel,15,23,18,3450,493
Cadillac,CT4 V AWD,Compact Cars,2.7,4,All-Wheel,20,28,23,2700,387
Ferrari S.p.A.,Purosangue,Compact Cars,6.5,12,All-Wheel,11,15,12,5200,711
GENESIS,G70 AWD,Compact Cars,3.3,6,All-Wheel,17,23,19,3300,466
GENESIS,G70 AWD,Compact Cars,2.5,4,All-Wheel,20,28,23,2700,385
GENESIS,G70 RWD,Compact Cars,3.3,6,Rear-Wheel,17,25,20,3100,449
GENESIS,G70 RWD,Compact Cars,2.5,4,Rear-Wheel,21,29,24,2600,373
MAZDA,MAZDA3 4-Door 2WD,Compact Cars,2.5,4,Front-Wheel,27,36,30,1650,294
MAZDA,MAZDA3 4-Door 4WD,Compact Cars,2.5,4,Four-Wheel,26,34,29,1700,306
MAZDA,MAZDA3 4-Door 4WD,Compact Cars,2.5,4,Four-Wheel,23,32,27,1850,334
Mercedes-Benz,AMG C 43 4MATIC,Compact Cars,2.0,4,All-Wheel,19,27,22,2850,405
Mercedes-Benz,AMG CLA 35 4MATIC,Compact Cars,2.0,4,All-Wheel,22,29,25,2500,361
Mercedes-Benz,AMG CLA 45 S 4MATIC,Compact Cars,2.0,4,All-Wheel,20,28,23,2700,379
Mercedes-Benz,C 300,Compact Cars,2.0,4,Rear-Wheel,25,35,29,2150,307
Mercedes-Benz,C 300 4MATIC,Compact Cars,2.0,4,All-Wheel,24,33,27,2300,329
Mercedes-Benz,CLA 250,Compact Cars,2.0,4,Front-Wheel,26,36,30,2100,298
Mercedes-Benz,CLA 250 4MATIC,Compact Cars,2.0,4,All-Wheel,25,34,29,2150,311
Mini,Cooper C 4 Door,Compact Cars,2.0,4,Front-Wheel,28,39,32,1950,276
Mini,Cooper S 4 Door,Compact Cars,2.0,4,Front-Wheel,28,39,32,1950,273
TOYOTA,COROLLA,Compact Cars,2.0,4,Front-Wheel,32,41,35,1400,254
TOYOTA,COROLLA,Compact Cars,2.0,4,Front-Wheel,31,40,34,1450,257
TOYOTA,COROLLA,Compact Cars,2.0,4,Front-Wheel,31,38,34,1450,265
TOYOTA,COROLLA HATCHBACK,Compact Cars,2.0,4,Front-Wheel,32,41,35,1400,254
TOYOTA,COROLLA HATCHBACK FX,Compact Cars,2.0,4,Front-Wheel,30,38,33,1500,267
TOYOTA,COROLLA HATCHBACK XSE,Compact Cars,2.0,4,Front-Wheel,30,38,33,1500,266
TOYOTA,COROLLA HYBRID,Compact Cars,1.8,4,Front-Wheel,50,43,47,1050,186
TOYOTA,COROLLA HYBRID,Compact Cars,1.8,4,Front-Wheel,53,46,50,1000,176
TOYOTA,COROLLA HYBRID AWD,Compact Cars,1.8,4,All-Wheel,47,41,44,1100,199
TOYOTA,COROLLA HYBRID AWD,Compact Cars,1.8,4,All-Wheel,51,44,48,1050,183
Volkswagen,GLI,Compact Cars,2.0,4,Front-Wheel,26,35,29,1700,307
Volkswagen,GLI,Compact Cars,2.0,4,Front-Wheel,26,36,29,1700,306
Volkswagen,Jetta,Compact Cars,1.5,4,Front-Wheel,29,40,34,1450,265
Volkswagen,Jetta Sport/SE/SEL,Compact Cars,1.5,4,Front-Wheel,29,40,33,1500,271
ALFA ROMEO,Giulia AWD,Midsize Cars,2.0,4,All-Wheel,23,31,26,2400,348
Audi,A6 Sedan,Midsize Cars,3.0,6,All-Wheel,20,29,23,2700,387
Audi,RS 7,Midsize Cars,4.0,8,All-Wheel,14,21,16,3900,545
BMW,530i Sedan,Midsize Cars,2.0,4,Rear-Wheel,28,35,31,2000,285
BMW,530i xDrive Sedan,Midsize Cars,2.0,4,All-Wheel,27,35,30,2100,292
BMW,540i xDrive Sedan,Midsize Cars,3.0,6,All-Wheel,26,32,28,2200,308
BMW,840i Gran Coupe,Midsize Cars,3.0,6,Rear-Wheel,21,29,24,2600,368
BMW,840i xDrive Gran Coupe,Midsize Cars,3.0,6,All-Wheel,21,29,24,2600,373
BMW,M850i xDrive Gran Coupe,Midsize Cars,4.4,8,All-Wheel,17,24,19,3300,456
Cadillac,CT5,Midsize Cars,3.0,6,Rear-Wheel,19,28,22,2850,399
Cadillac,CT5,Midsize Cars,2.0,4,Rear-Wheel,22,31,26,2400,346
Cadillac,CT5 AWD,Midsize Cars,3.0,6,All-Wheel,18,27,21,2950,418
Cadillac,CT5 AWD,Midsize Cars,2.0,4,All-Wheel,21,30,24,2600,370
Cadillac,CT5 V,Midsize Cars,3.0,6,Rear-Wheel,18,27,21,2950,423
Cadillac,CT5 V,Midsize Cars,6.2,8,Rear-Wheel,13,20,15,4150,580
Cadillac,CT5 V,Midsize Cars,6.2,8,Rear-Wheel,13,20,15,4150,587
Cadillac,CT5 V AWD,Midsize Cars,3.0,6,All-Wheel,17,26,20,3100,445
Honda,CIVIC 4Dr,Midsize Cars,1.5,4,Front-Wheel,27,37,31,2000,285
Honda,CIVIC 4Dr,Midsize Cars,2.0,4,Front-Wheel,32,41,36,1400,248
Honda,CIVIC 4Dr,Midsize Cars,2.0,4,Front-Wheel,31,39,34,1450,260
Honda,CIVIC 4Dr,Midsize Cars,2.0,4,Front-Wheel,50,47,49,1000,181
HYUNDAI MOTOR COMPANY,Elantra,Midsize Cars,1.6,4,Front-Wheel,28,35,31,1600,288
HYUNDAI MOTOR COMPANY,Elantra Hybrid,Midsize Cars,1.6,4,Front-Wheel,49,52,50,1000,177
HYUNDAI MOTOR COMPANY,Elantra Hybrid Blue,Midsize Cars,1.6,4,Front-Wheel,51,58,54,900,165
HYUNDAI MOTOR COMPANY,Elantra N,Midsize Cars,2.0,4,Front-Wheel,20,27,23,2700,392
HYUNDAI MOTOR COMPANY,Elantra N,Midsize Cars,2.0,4,Front-Wheel,21,29,24,2600,366
HYUNDAI MOTOR COMPANY,Elantra non-ISG,Midsize Cars,2.0,4,Front-Wheel,30,40,34,1450,263
HYUNDAI MOTOR COMPANY,Elantra w/ Stop-Start,Midsize Cars,2.0,4,Front-Wheel,31,40,35,1400,254
MAZDA,MAZDA3 5-Door 2WD,Midsize Cars,2.5,4,Front-Wheel,25,34,28,1750,314
MAZDA,MAZDA3 5-Door 2WD,Midsize Cars,2.5,4,Front-Wheel,26,34,29,1700,302
MAZDA,MAZDA3 5-Door 4WD,Midsize Cars,2.5,4,Four-Wheel,25,34,28,1750,317
MAZDA,MAZDA3 5-Door 4WD,Midsize Cars,2.5,4,Four-Wheel,23,31,26,1900,337
Mercedes-Benz,E 350,Midsize Cars,2.0,4,Rear-Wheel,25,33,28,2200,316
Mercedes-Benz,E 350 4MATIC,Midsize Cars,2.0,4,All-Wheel,24,33,27,2300,327
Mercedes-Benz,E 450 4MATIC,Midsize Cars,3.0,6,All-Wheel,22,31,25,2500,355
TOYOTA,CAMRY HEV AWD LE,Midsize Cars,2.5,4,All-Wheel,50,49,50,1000,178
TOYOTA,CAMRY HEV AWD SE/XLE,Midsize Cars,2.5,4,All-Wheel,46,46,46,1100,192
TOYOTA,CAMRY HEV AWD XSE,Midsize Cars,2.5,4,All-Wheel,43,43,43,1150,205
TOYOTA,CAMRY HEV FF LE,Midsize Cars,2.5,4,Front-Wheel,52,49,51,950,173
TOYOTA,CAMRY HEV FF SE/XLE/XSE,Midsize Cars,2.5,4,Front-Wheel,47,45,46,1100,191
TOYOTA,PRIUS,Midsize Cars,2.0,4,Front-Wheel,57,56,57,850,155
TOYOTA,PRIUS AWD,Midsize Cars,2.0,4,All-Wheel,53,54,54,900,163
TOYOTA,PRIUS AWD XLE/LTD,Midsize Cars,2.0,4,All-Wheel,49,50,49,1000,179
TOYOTA,PRIUS XLE/LTD,Midsize Cars,2.0,4,Front-Wheel,52,52,52,950,169
TOYOTA,TOYOTA CROWN AWD,Midsize Cars,2.4,4,All-Wheel,29,32,30,1650,293
TOYOTA,TOYOTA CROWN AWD Hybrid,Midsize Cars,2.5,4,All-Wheel,42,41,41,1200,214
Volkswagen,Golf R,Midsize Cars,2.0,4,All-Wheel,22,31,25,2500,349
Volkswagen,GTI,Midsize Cars,2.0,4,Front-Wheel,24,32,27,1850,326
"Volvo Cars of North America, LLC",S90 B5,Midsize Cars,2.0,4,Front-Wheel,24,34,28,2200,318
Acura,INTEGRA,Large Cars,1.5,4,Front-Wheel,29,37,32,1950,278
Acura,INTEGRA,Large Cars,2.0,4,Front-Wheel,21,28,24,2600,371
Acura,INTEGRA A-SPEC,Large Cars,1.5,4,Front-Wheel,29,37,32,1950,277
Acura,INTEGRA A-SPEC,Large Cars,1.5,4,Front-Wheel,26,36,30,2100,293
Audi,A8 quattro,Large Cars,3.0,6,All-Wheel,19,27,22,2850,414
Audi,S8,Large Cars,4.0,8,All-Wheel,15,24,18,3450,502
BMW,740i Sedan,Large Cars,3.0,6,Rear-Wheel,25,31,28,2200,317
BMW,740i xDrive Sedan,Large Cars,3.0,6,All-Wheel,24,31,27,2300,326
BMW,760i xDrive Sedan,Large Cars,4.4,8,All-Wheel,18,25,20,3100,427
GENESIS,G80 AWD,Large Cars,2.5,4,All-Wheel,20,29,23,2700,382
GENESIS,G80 AWD,Large Cars,3.5,6,All-Wheel,15,24,18,3450,485
GENESIS,G90 AWD,Large Cars,3.5,6,All-Wheel,18,26,21,2950,426
GENESIS,G90 MHEV,Large Cars,3.5,6,All-Wheel,17,24,20,3100,441
Honda,CIVIC 5Dr,Large Cars,2.0,4,Front-Wheel,30,38,34,1450,268
Honda,CIVIC 5Dr,Large Cars,2.0,4,Front-Wheel,50,45,48,1050,186
HYUNDAI MOTOR COMPANY,Sonata AWD,Large Cars,2.5,4,All-Wheel,24,33,27,1850,327
HYUNDAI MOTOR COMPANY,Sonata FWD,Large Cars,2.5,4,Front-Wheel,25,36,29,1700,310
HYUNDAI MOTOR COMPANY,Sonata FWD,Large Cars,2.5,4,Front-Wheel,23,32,27,1850,333
HYUNDAI MOTOR COMPANY,Sonata FWD w/ STOP-START,Large Cars,2.5,4,Front-Wheel,28,38,32,1550,281
HYUNDAI MOTOR COMPANY,Sonata Hybrid,Large Cars,2.0,4,Front-Wheel,44,51,47,1050,188
HYUNDAI MOTOR COMPANY,Sonata Hybrid Blue,Large Cars,2.0,4,Front-Wheel,47,56,51,950,175
KIA,K5,Large Cars,2.5,4,Front-Wheel,25,36,29,1700,310
KIA,K5,Large Cars,2.5,4,Front-Wheel,23,33,27,1850,331
KIA,K5 AWD,Large Cars,2.5,4,All-Wheel,24,33,27,1850,329
KIA,K5 w/ Stop-Start,Large Cars,2.5,4,Front-Wheel,26,37,30,1650,298
Mercedes-Benz,S 500 4MATIC,Large Cars,3.0,6,All-Wheel,20,29,23,2700,380
Mercedes-Benz,S 580 4MATIC,Large Cars,4.0,8,All-Wheel,17,27,20,3100,438
Mercedes-Benz,S 580 4MATIC Maybach,Large Cars,4.0,8,All-Wheel,16,27,20,3100,451
Mercedes-Benz,S 680 4MATIC Maybach,Large Cars,6.0,12,All-Wheel,12,20,15,4150,603
Porsche,Panamera,Large Cars,2.9,6,Rear-Wheel,18,25,21,2950,431
Porsche,Panamera 4,Large Cars,2.9,6,All-Wheel,18,25,21,2950,425
Rolls-Royce Motor Cars Limited,Black Badge Ghost,Large Cars,6.7,12,All-Wheel,12,19,14,4450,609
Rolls-Royce Motor Cars Limited,Ghost,Large Cars,6.7,12,All-Wheel,12,19,14,4450,609
Rolls-Royce Motor Cars Limited,Ghost Extended,Large Cars,6.7,12,All-Wheel,12,19,14,4450,609
Rolls-Royce Motor Cars Limited,Phantom,Large Cars,6.7,12,Rear-Wheel,12,19,14,4450,609
Rolls-Royce Motor Cars Limited,Phantom Extended,Large Cars,6.7,12,Rear-Wheel,12,19,14,4450,609
Buick,ENVISTA,Small Station Wagons,1.2,3,Front-Wheel,28,32,30,1650,296
Buick,ENVISTA (Flex Fuel),Small Station Wagons,1.2,3,Front-Wheel,28,32,30,1650,297
Chevrolet,TRAX,Small Station Wagons,1.2,3,Front-Wheel,28,31,29,1700,302
Chevrolet,TRAX (Flex Fuel),Small Station Wagons,1.2,3,Front-Wheel,28,32,30,1650,296
Honda,HR-V AWD,Small Station Wagons,2.0,4,All-Wheel,25,30,27,1850,328
Honda,HR-V FWD,Small Station Wagons,2.0,4,Front-Wheel,26,32,28,1750,311
Mercedes-Benz,AMG GLA 35 4MATIC,Small Station Wagons,2.0,4,All-Wheel,22,30,25,2500,350
Mercedes-Benz,AMG GLC 43 4MATIC,Small Station Wagons,2.0,4,All-Wheel,19,26,22,2850,406
Mercedes-Benz,AMG GLC 43 4MATIC (coupe),Small Station Wagons,2.0,4,All-Wheel,19,25,22,2850,411
Mercedes-Benz,AMG GT 43 4MATIC+,Small Station Wagons,3.0,6,All-Wheel,19,24,21,2950,421
Mercedes-Benz,AMG GT 53 4MATIC+,Small Station Wagons,3.0,6,All-Wheel,19,24,21,2950,422
Mercedes-Benz,AMG GT 63 4MATIC+,Small Station Wagons,4.0,8,All-Wheel,15,21,17,3650,512
Subaru,IMPREZA,Small Station Wagons,2.0,4,All-Wheel,27,33,29,1700,301
Subaru,IMPREZA,Small Station Wagons,2.5,4,All-Wheel,26,33,29,1700,311
"Volvo Cars of North America, LLC",V60CC B5 AWD,Small Station Wagons,2.0,4,All-Wheel,23,31,26,2400,338
Audi,A6 allroad quattro,Midsize Station Wagons,3.0,6,All-Wheel,21,30,24,2600,365
Audi,RS 6 Avant,Midsize Station Wagons,4.0,8,All-Wheel,14,21,16,3900,545
Honda,CR-V FWD,Midsize Station Wagons,1.5,4,Front-Wheel,28,33,30,1650,296
Honda,CR-V FWD,Midsize Station Wagons,2.0,4,Front-Wheel,43,36,40,1250,223
Mercedes-Benz,AMG GLB 35 4MATIC,Midsize Station Wagons,2.0,4,All-Wheel,21,27,23,2700,387
Mercedes-Benz,E 450 4MATIC All-Terrain Wagon,Midsize Station Wagons,3.0,6,All-Wheel,22,31,25,2500,351
"Volvo Cars of North America, LLC",V90CC B6 AWD,Midsize Station Wagons,2.0,4,All-Wheel,22,29,25,2500,358
Chevrolet,COLORADO 2WD,Standard Pick-up Trucks 2WD,2.7,4,Rear-Wheel,19,24,21,2350,420
Chevrolet,SILVERADO 2WD ,Standard Pick-up Trucks 2WD,3.0,6,Rear-Wheel,23,28,25,2150,402
Chevrolet,SILVERADO 2WD (5.3L with Sport Mode),Standard Pick-up Trucks 2WD,5.3,8,Rear-Wheel,16,21,18,2750,490
Chevrolet,SILVERADO 2WD (5.3L),Standard Pick-up Trucks 2WD,5.3,8,Rear-Wheel,16,20,17,2900,513
Chevrolet,SILVERADO 2WD 3M,Standard Pick-up Trucks 2WD,2.7,4,Rear-Wheel,18,21,20,2500,465
Chevrolet,SILVERADO 2WD M5,Standard Pick-up Trucks 2WD,2.7,4,Rear-Wheel,17,21,19,2600,472
GMC,CANYON 2WD,Standard Pick-up Trucks 2WD,2.7,4,Rear-Wheel,19,23,20,2500,443
GMC,SIERRA 2WD,Standard Pick-up Trucks 2WD,5.3,8,Rear-Wheel,16,20,17,2900,514
GMC,SIERRA 2WD,Standard Pick-up Trucks 2WD,3.0,6,Rear-Wheel,23,28,25,2150,402
GMC,SIERRA 2WD 3M,Standard Pick-up Trucks 2WD,2.7,4,Rear-Wheel,18,21,20,2500,464
GMC,SIERRA 2WD M5,Standard Pick-up Trucks 2WD,2.7,4,Rear-Wheel,17,21,19,2600,472
GMC,SIERRA 2WD with Sport Mode,Standard Pick-up Trucks 2WD,5.3,8,Rear-Wheel,16,21,18,2750,495
NISSAN,FRONTIER 2WD,Standard Pick-up Trucks 2WD,3.8,6,Rear-Wheel,19,24,21,2350,423
RAM,1500 4X2,Standard Pick-up Trucks 2WD,3.0,6,Rear-Wheel,18,25,21,2350,433
RAM,1500 4X2,Standard Pick-up Trucks 2WD,3.6,6,Rear-Wheel,20,25,22,2250,407
TOYOTA,TUNDRA 2WD,Standard Pick-up Trucks 2WD,3.4,6,Rear-Wheel,18,23,20,2500,450
